NOMBRE,LUGAR,GRAD_Y,GRAD_X
"AVENIDA MARITIMA DE SANTA CRUZ DE TENERIFE","AVENIDA MARITIMA",28.4656634,-16.248047
"AVENIDA MARITIMA DE SANTA CRUZ","AVENIDA MARITIMA",28.4656634,-16.248047
"AVENIDA MARITIMA","AVENIDA MARITIMA",28.4656634,-16.248047
"LAS TERESITAS","LAS TERESITAS",28.5080068,-16.1865688
"PLAYA LAS TERESITAS","PLAYA LAS TERESITAS",28.5080068,-16.1865688
"CASA TAUCHO","CASA TAUCHO",28.4660999273,-16.2589317485
TAUCHO,TAUCHO,28.4660999273,-16.2589317485
"PARLAMENTO","PARLAMENTO DE CANARIAS",28.4676342,-16.3221589
"REAL CASINO DE TENERIFE","REAL CASINO DE TENERIFE",28.4671448,-16.2501908
"CASINO DE TENERIFE","CASINO DE TENERIFE",28.4671448,-16.2501908
"BARRIO LA CANDELARIA","BARRIO LA CANDELARIA",28.4726601,-16.2850125
"LA CANDELARIA","LA CANDELARIA",28.4726601,-16.2850125
"RECINTO FERIAL DE SANTA CRUZ DE TENERIFE","RECINTO FERIAL",28.4546526,-16.2601084
"RECINTO FERIAL DE SANTA CRUZ","RECINTO FERIAL",28.4546526,-16.2601084
"RECINTO FERIAL DE TENERIFE","RECINTO FERIAL",28.4546526,-16.2601084
"RECINTO FERIAL","RECINTO FERIAL",28.4546526,-16.2601084
"AUDITORIO ADAN MARTIN","AUDITORIO ADAN MARTIN",28.4561009,-16.253546
"AUDITORIO DE TENERIFE ADAN MARTIN","AUDITORIO DE TENERIFE",28.4561009,-16.253546
"AUDITORIO ADAN MARTIN DE TENERIFE","AUDITORIO DE TENERIFE",28.4561009,-16.253546
"AUDITORIO DE SANTA CRUZ DE TENERIFE ADAN MARTIN","AUDITORIO DE TENERIFE",28.4561009,-16.253546
"AUDITORIO","AUDITORIO DE TENERIFE",28.4561009,-16.253546
REFINERIA,REFINERIA,28.453797,-16.2672182
"CABO-LLANOS","CABO-LLANOS",28.456839, -16.257261
"AGENCIA TRIBUTARIA","AGENCIA TRIBUTARIA",28.4634022,-16.2506242
"CRUZ ROJA ESPAÑOLA","CRUZ ROJA ESPAÑOLA",28.4580567,-16.2621427
"CRUZ ROJA","CRUZ ROJA",28.4580567,-16.2621427
